player_id,last_name,first_name,bacon_number,max_year,v0,e1,v1,e2,v2,e3,v3,e4,v4,e5,v5,e6,v6,e7,v7,e8,v8,e9,v9,e10,v10
maddf101,Madden,Frank,,1914,maddf101,,,,,,,,,,,,,,,,,,,,
schwf001,Schwindel,Frank,,2019,schwf001,,,,,,,,,,,,,,,,,,,,
tulot001,Tulowitzki,Troy,,2019,tulot001,,,,,,,,,,,,,,,,,,,,
mahab101,Maharg,Billy,,1916,mahab101,,,,,,,,,,,,,,,,,,,,
herzw101,Herzog,Whitey,,1963,herzw101,,,,,,,,,,,,,,,,,,,,
krapg101,Krapp,Gene,,1915,krapg101,,,,,,,,,,,,,,,,,,,,
hetze001,Hetzel,Eric,,1990,hetze001,,,,,,,,,,,,,,,,,,,,
sellj001,Sellers,Jeff,,1988,sellj001,,,,,,,,,,,,,,,,,,,,
verbg101,Verble,Gene,,1953,verbg101,,,,,,,,,,,,,,,,,,,,
fritc101,Fritz,Charlie,,1907,fritc101,,,,,,,,,,,,,,,,,,,,
abrej101,Abreu,Joe,,1942,abrej101,,,,,,,,,,,,,,,,,,,,
hudsk001,Hudson,Kyle,,2011,hudsk001,,,,,,,,,,,,,,,,,,,,
giesd001,Giese,Dan,,2009,giesd001,,,,,,,,,,,,,,,,,,,,
moras101,Moran,Sam,,1895,moras101,,,,,,,,,,,,,,,,,,,,
atkij101,Atkins,James,,1952,atkij101,,,,,,,,,,,,,,,,,,,,
tucke001,Tucker,Eddie,,1995,tucke001,,,,,,,,,,,,,,,,,,,,
hendr001,Henderson,Rickey,,2003,hendr001,,,,,,,,,,,,,,,,,,,,
wessj101,Wessinger,Jim,,1979,wessj101,,,,,,,,,,,,,,,,,,,,
browb005,Brown,Brooks,,2015,browb005,,,,,,,,,,,,,,,,,,,,
gilkb001,Gilkey,Bernard,,2001,gilkb001,,,,,,,,,,,,,,,,,,,,
sutkg001,Sutko,Glenn,,1991,sutkg001,,,,,,,,,,,,,,,,,,,,
verrl001,Verrett,Logan,,2017,verrl001,,,,,,,,,,,,,,,,,,,,
hachi101,Hach,Irv,,1897,hachi101,,,,,,,,,,,,,,,,,,,,
bredb001,Brede,Brent,,1998,bredb001,,,,,,,,,,,,,,,,,,,,
sewae101,Seward,Ed,,1891,sewae101,,,,,,,,,,,,,,,,,,,,
frane001,Franco,Enderson,,2019,frane001,,,,,,,,,,,,,,,,,,,,
sance001,Sanchez,Eduardo,,2013,sance001,,,,,,,,,,,,,,,,,,,,
twitw101,Twitchell,Wayne,,1979,twitw101,,,,,,,,,,,,,,,,,,,,
tayla002,Taylor,Andrew,,2012,tayla002,,,,,,,,,,,,,,,,,,,,
cliff101,Clifton,Flea,,1937,cliff101,,,,,,,,,,,,,,,,,,,,
scogj101,Scoggins,Jim,,1913,scogj101,,,,,,,,,,,,,,,,,,,,
husoj001,Huson,Jeff,,2000,husoj001,,,,,,,,,,,,,,,,,,,,
bubsh101,Bubser,Hal,,1922,bubsh101,,,,,,,,,,,,,,,,,,,,
dunnj103,Dunn,Jim,,1952,dunnj103,,,,,,,,,,,,,,,,,,,,
theij101,Theis,Jack,,1920,theij101,,,,,,,,,,,,,,,,,,,,
hughe101,Hughes,Ed,,1906,hughe101,,,,,,,,,,,,,,,,,,,,
holmf101,Holmes,Fred,,1904,holmf101,,,,,,,,,,,,,,,,,,,,
bridm101,Bridges,Marshall,,1965,bridm101,,,,,,,,,,,,,,,,,,,,
hudgd101,Hudgens,Dave,,1983,hudgd101,,,,,,,,,,,,,,,,,,,,
hevij102,Heving,Johnnie,,1932,hevij102,,,,,,,,,,,,,,,,,,,,
younj002,Young,Jason,,2004,younj002,,,,,,,,,,,,,,,,,,,,
fishj101,Fisher,Jack,,1969,fishj101,,,,,,,,,,,,,,,,,,,,
eyrew001,Eyre,Willie,,2011,eyrew001,,,,,,,,,,,,,,,,,,,,
schoj102,Schoeneck,Jumbo,,1889,schoj102,,,,,,,,,,,,,,,,,,,,
branm002,Brandenburg,Mark,,1997,branm002,,,,,,,,,,,,,,,,,,,,
otisb101,Otis,Bill,,1912,otisb101,,,,,,,,,,,,,,,,,,,,
wilsj104,Wilson,Jim,,1958,wilsj104,,,,,,,,,,,,,,,,,,,,
acrem001,Acre,Mark,,1997,acrem001,,,,,,,,,,,,,,,,,,,,
hertn101,Hertweck,Neal,,1952,hertn101,,,,,,,,,,,,,,,,,,,,
ohmaw001,Ohman,Will,,2012,ohmaw001,,,,,,,,,,,,,,,,,,,,
marel101,Marentette,Leo,,1969,marel101,,,,,,,,,,,,,,,,,,,,
dufff101,Duffy,Frank,,1979,dufff101,,,,,,,,,,,,,,,,,,,,
maloj102,Maloney,Jim,,1971,maloj102,,,,,,,,,,,,,,,,,,,,
garrr101,Garr,Ralph,,1980,garrr101,,,,,,,,,,,,,,,,,,,,
clard003,Clarke,Darren,,2007,clard003,,,,,,,,,,,,,,,,,,,,
harpt001,Harper,Terry,,1987,harpt001,,,,,,,,,,,,,,,,,,,,
willj104,Willis,Jim,,1954,willj104,,,,,,,,,,,,,,,,,,,,
castl002,Castillo,Lendy,,2012,castl002,,,,,,,,,,,,,,,,,,,,
bellr102,Belloir,Rob,,1978,bellr102,,,,,,,,,,,,,,,,,,,,
brigj102,Briggs,John,,1975,brigj102,,,,,,,,,,,,,,,,,,,,
reedn101,Reeder,Nick,,1891,reedn101,,,,,,,,,,,,,,,,,,,,
encam001,Encarnacion,Mario,,2002,encam001,,,,,,,,,,,,,,,,,,,,
foppj001,Foppert,Jesse,,2005,foppj001,,,,,,,,,,,,,,,,,,,,
vosbe001,Vosberg,Ed,,2002,vosbe001,,,,,,,,,,,,,,,,,,,,
kellm103,Kelley,Mike,,1899,kellm103,,,,,,,,,,,,,,,,,,,,
veraj001,Veras,Jose,,2014,veraj001,,,,,,,,,,,,,,,,,,,,
langd101,Lange,Dick,,1975,langd101,,,,,,,,,,,,,,,,,,,,
gossd101,Gossett,Dick,,1914,gossd101,,,,,,,,,,,,,,,,,,,,
owenf101,Owens,Yip,,1915,owenf101,,,,,,,,,,,,,,,,,,,,
kreuc001,Kreuter,Chad,,2003,kreuc001,,,,,,,,,,,,,,,,,,,,
odeak101,O'Dea,Ken,,1946,odeak101,,,,,,,,,,,,,,,,,,,,
stilr102,Stillman,Royle,,1977,stilr102,,,,,,,,,,,,,,,,,,,,
luebc001,Luebke,Cory,,2016,luebc001,,,,,,,,,,,,,,,,,,,,
wilsg101,Wilson,George,,1956,wilsg101,,,,,,,,,,,,,,,,,,,,
eatoz101,Eaton,Zeb,,1945,eatoz101,,,,,,,,,,,,,,,,,,,,
scotl102,Scott,LeGrant,,1939,scotl102,,,,,,,,,,,,,,,,,,,,
loweb001,Lowe,Brandon,,2019,loweb001,,,,,,,,,,,,,,,,,,,,
navad002,Nava,Daniel,,2017,navad002,,,,,,,,,,,,,,,,,,,,
dugab101,Dugan,Bill,,1884,dugab101,,,,,,,,,,,,,,,,,,,,
wattf101,Watt,Frank,,1931,wattf101,,,,,,,,,,,,,,,,,,,,
kraul101,Krausse,Lew,,1932,kraul101,,,,,,,,,,,,,,,,,,,,
gomel102,Gomez,Lefty,,1943,gomel102,,,,,,,,,,,,,,,,,,,,
