team_id,year_id,name,lg_id
BR31884,1884,Brooklyn Atlantics,AA
BSN1884,1884,Boston Beaneaters,NL
BSU1884,1884,Boston Reds,UA
CHN1884,1884,Chicago White Stockings,NL
CHU1884,1884,Chicago/Pittsburgh (Union League),UA
CL21884,1884,Cleveland Blues,NL
CL51884,1884,Columbus Buckeyes,AA
CN21884,1884,Cincinnati Red Stockings,AA
CNU1884,1884,Cincinnati Outlaw Reds,UA
DTN1884,1884,Detroit Wolverines,NL
IN21884,1884,Indianapolis Hoosiers,AA
KCU1884,1884,Kansas City Cowboys,UA
LS21884,1884,Louisville Eclipse,AA
MLU1884,1884,Milwaukee Brewers,UA
NY11884,1884,New York Gothams,NL
NY41884,1884,New York Metropolitans,AA
PH41884,1884,Philadelphia Athletics,AA
PHI1884,1884,Philadelphia Quakers,NL
PHU1884,1884,Philadelphia Keystones,UA
PRO1884,1884,Providence Grays,NL
PT11884,1884,Pittsburg Alleghenys,AA
RIC1884,1884,Richmond Virginians,AA
SL41884,1884,St. Louis Browns,AA
SLU1884,1884,St. Louis Maroons,UA
SPU1884,1884,St. Paul White Caps,UA
TL11884,1884,Toledo Blue Stockings,AA
WIL1884,1884,Wilmington Quicksteps,UA
WS71884,1884,Washington Nationals,AA
WSU1884,1884,Washington Nationals,UA
BFN1885,1885,Buffalo Bisons,NL
BL21885,1885,Baltimore Orioles,AA
BR31885,1885,Brooklyn Grays,AA
BSN1885,1885,Boston Beaneaters,NL
CHN1885,1885,Chicago White Stockings,NL
CN21885,1885,Cincinnati Red Stockings,AA
DTN1885,1885,Detroit Wolverines,NL
LS21885,1885,Louisville Colonels,AA
NY11885,1885,New York Giants,NL
NY41885,1885,New York Metropolitans,AA
PH41885,1885,Philadelphia Athletics,AA
PHI1885,1885,Philadelphia Quakers,NL
PRO1885,1885,Providence Grays,NL
PT11885,1885,Pittsburg Alleghenys,AA
SL41885,1885,St. Louis Browns,AA
SL51885,1885,St. Louis Maroons,NL
BL21886,1886,Baltimore Orioles,AA
BR31886,1886,Brooklyn Grays,AA
BSN1886,1886,Boston Beaneaters,NL
CHN1886,1886,Chicago White Stockings,NL
CN21886,1886,Cincinnati Red Stockings,AA
DTN1886,1886,Detroit Wolverines,NL
KCN1886,1886,Kansas City Cowboys,NL
LS21886,1886,Louisville Colonels,AA
NY11886,1886,New York Giants,NL
NY41886,1886,New York Metropolitans,AA
PH41886,1886,Philadelphia Athletics,AA
PHI1886,1886,Philadelphia Quakers,NL
PT11886,1886,Pittsburg Alleghenys,AA
SL41886,1886,St. Louis Browns,AA
SL51886,1886,St. Louis Maroons,NL
WS81886,1886,Washington Nationals,NL
BL21887,1887,Baltimore Orioles,AA
BR31887,1887,Brooklyn Grays,AA
BSN1887,1887,Boston Beaneaters,NL
CHN1887,1887,Chicago White Stockings,NL
CL31887,1887,Cleveland Blues,AA
CN21887,1887,Cincinnati Red Stockings,AA
DTN1887,1887,Detroit Wolverines,NL
IN31887,1887,Indianapolis Hoosiers,NL
LS21887,1887,Louisville Colonels,AA
NY11887,1887,New York Giants,NL
NY41887,1887,New York Metropolitans,AA
PH41887,1887,Philadelphia Athletics,AA
PHI1887,1887,Philadelphia Quakers,NL
PIT1887,1887,Pittsburg Alleghenys,NL
SL41887,1887,St. Louis Browns,AA
WS81887,1887,Washington Nationals,NL
BL21888,1888,Baltimore Orioles,AA
BR31888,1888,Brooklyn Bridegrooms,AA
BSN1888,1888,Boston Beaneaters,NL
CHN1888,1888,Chicago White Stockings,NL
CL31888,1888,Cleveland Blues,AA
CN21888,1888,Cincinnati Red Stockings,AA
DTN1888,1888,Detroit Wolverines,NL
IN31888,1888,Indianapolis Hoosiers,NL
KC21888,1888,Kansas City Cowboys,AA
LS21888,1888,Louisville Colonels,AA
NY11888,1888,New York Giants,NL
PH41888,1888,Philadelphia Athletics,AA
PHI1888,1888,Philadelphia Quakers,NL
PIT1888,1888,Pittsburg Alleghenys,NL
SL41888,1888,St. Louis Browns,AA
WS81888,1888,Washington Nationals,NL
BL21889,1889,Baltimore Orioles,AA
BR31889,1889,Brooklyn Bridegrooms,AA
BSN1889,1889,Boston Beaneaters,NL
CHN1889,1889,Chicago White Stockings,NL
